日期,股票代码,股票名称,5年均值回归的市盈率,10年均值回归的市盈率,最新市盈率,预估每股净利润增长率(%),PEG,5年均值PE回归的收益率(%),10年均值PE回归的收益率(%),最新市净率,5年均值回归的市净率,10年均值回归的市净率,报告信息
2025/11/28,600482,中国动力,69.7,72.1,24.6,40.57%,0.6,136.32%,140.35%,1.14,1.14,2.33,国金证券  2025-10-31  22.17  15.41  11.22  0.40567984579597827  https://pdf.dfcfw.com/pdf/H3_AP202510311772376578_1.pdf
2025/11/28,601816,京沪高铁,88.3,80.3,19.1,4.46%,4.3,124.72%,114.35%,1.22,1.34,1.41,"国金证券  2025-11-02  22.13  21.22  20.42  0.04102902455724888  https://pdf.dfcfw.com/pdf/H3_AP202511021773633129_1.pdf
信达证券  2025-10-31  19.65  18.69  17.76  0.0518644964627899  https://pdf.dfcfw.com/pdf/H3_AP202510311772558223_1.pdf
国金证券  2025-10-31  22.13  21.22  20.42  0.04102902455724888  https://pdf.dfcfw.com/pdf/H3_AP202510311772517724_1.pdf"
2025/11/28,300896,爱美客,93.6,95.9,30,16.56%,1.8,105.85%,108.30%,5.95,16.37,16.92,"中国银河  2025-11-03  34.62  29.03  24.13  0.19780155020255075  https://pdf.dfcfw.com/pdf/H3_AP202511031774330800_1.pdf
民生证券  2025-11-02  37.0  31.0  28.0  0.14953406710222006  https://pdf.dfcfw.com/pdf/H3_AP202511021773747383_1.pdf
开源证券  2025-10-30  33.4  27.6  23.6  0.18964458444030052  https://pdf.dfcfw.com/pdf/H3_AP202510301771744662_1.pdf
国信证券  2025-10-30  31.6  27.5  23.5  0.15960374743436812  https://pdf.dfcfw.com/pdf/H3_AP202510301771739164_1.pdf
国金证券  2025-10-30  33.11  28.67  25.87  0.13130934879674405  https://pdf.dfcfw.com/pdf/H3_AP202510301771723366_1.pdf"
2025/11/28,300750,宁德时代,64.8,63.3,26.7,23.62%,1.1,92.58%,90.29%,5.42,8.77,8.12,"开源证券  2025-10-28  25.4  19.5  16.0  0.2599603168354152  https://pdf.dfcfw.com/pdf/H3_AP202510281770424543_1.pdf
华安证券  2025-10-27  24.7  18.69  14.13  0.32213985125263767  https://pdf.dfcfw.com/pdf/H3_AP202510271769870274_1.pdf
西南证券  2025-10-24  24.33  20.68  17.19  0.18968809615928595  https://pdf.dfcfw.com/pdf/H3_AP202510241768173429_1.pdf
中银证券  2025-10-24  24.5  19.7  17.0  0.20049009599756196  https://pdf.dfcfw.com/pdf/H3_AP202510241768040886_1.pdf
民生证券  2025-10-22  24.0  19.0  15.0  0.26491106406735176  https://pdf.dfcfw.com/pdf/H3_AP202510221767052008_1.pdf
中邮证券  2025-10-22  25.21  19.93  16.11  0.2509462588457483  https://pdf.dfcfw.com/pdf/H3_AP202510221766984509_1.pdf
中国银河  2025-10-22  25.02  21.4  18.22  0.1718430978094483  https://pdf.dfcfw.com/pdf/H3_AP202510221766901762_1.pdf
国信证券  2025-10-22  24.7  19.9  16.7  0.2161586722823896  https://pdf.dfcfw.com/pdf/H3_AP202510221766717489_1.pdf
东莞证券  2025-10-21  24.38  19.76  16.73  0.20717124007702292  https://pdf.dfcfw.com/pdf/H3_AP202510211766322021_1.pdf
国金证券  2025-10-21  23.87  18.28  14.75  0.2721262062962788  https://pdf.dfcfw.com/pdf/H3_AP202510211766250255_1.pdf
东吴证券  2025-10-21  24.24  19.39  15.69  0.2429533693561805  https://pdf.dfcfw.com/pdf/H3_AP202510211766120818_1.pdf"
2025/11/28,601628,中国人寿,25,26.5,7.2,3.22%,2.2,91.91%,97.49%,1.97,2.01,2.17,"华源证券  2025-11-06  7.01  7.91  6.53  0.03610177650222024  https://pdf.dfcfw.com/pdf/H3_AP202511061776095251_1.pdf
国信证券  2025-11-04  7.01  6.81  6.61  0.029812785006764653  https://pdf.dfcfw.com/pdf/H3_AP202511041774883965_1.pdf
东吴证券  2025-11-01  7.12  7.04  6.69  0.03163706669022304  https://pdf.dfcfw.com/pdf/H3_AP202511011772785609_1.pdf
东吴证券  2025-10-20  6.54  6.48  6.15  0.031219973694430303  https://pdf.dfcfw.com/pdf/H3_AP202510201765467140_1.pdf"
2025/11/28,600027,华电国际,25.8,19.5,9.1,9.84%,0.9,85.18%,60.86%,1.23,1.26,1.13,"华源证券  2025-09-11  9.3  8.65  8.11  0.07085593293396708  https://pdf.dfcfw.com/pdf/H3_AP202509111741750320_1.pdf
东吴证券  2025-09-01  9.54  9.03  7.95  0.09544511501033215  https://pdf.dfcfw.com/pdf/H3_AP202509011737586879_1.pdf
国信证券  2025-09-01  8.8  8.6  8.2  0.03593954056562465  https://pdf.dfcfw.com/pdf/H3_AP202509011737579241_1.pdf
东莞证券  2025-09-01  9.0  8.0  7.0  0.1338934190276817  https://pdf.dfcfw.com/pdf/H3_AP202509011737745672_1.pdf
国金证券  2025-08-29  8.87  8.49  6.64  0.1557869066112385  https://pdf.dfcfw.com/pdf/H3_AP202508291736345009_1.pdf"
2025/11/28,601633,长城汽车,37.2,27.1,17.2,25.00%,0.7,84.02%,57.14%,2.18,4.32,3.17,"民生证券  2025-11-04  15.0  11.0  10.0  0.22474487139158894  https://pdf.dfcfw.com/pdf/H3_AP202511041775009413_1.pdf
中国银河  2025-10-30  14.72  12.7  10.74  0.1707165674029758  https://pdf.dfcfw.com/pdf/H3_AP202510301772116480_1.pdf
东吴证券  2025-10-27  16.7  11.43  8.99  0.362945184997592  https://pdf.dfcfw.com/pdf/H3_AP202510271769931449_1.pdf
民生证券  2025-10-26  16.0  11.0  10.0  0.26491106406735176  https://pdf.dfcfw.com/pdf/H3_AP202510261769436401_1.pdf
开源证券  2025-10-26  15.8  12.4  10.5  0.22668737042569442  https://pdf.dfcfw.com/pdf/H3_AP202510261769332236_1.pdf"
2025/11/28,2920,德赛西威,61.8,59,27.5,22.53%,1.2,83.65%,79.37%,4.48,10.04,8.37,"中国银河  2025-10-31  30.48  25.57  20.92  0.20705383786110376  https://pdf.dfcfw.com/pdf/H3_AP202510311772542787_1.pdf
民生证券  2025-10-28  27.0  21.0  18.0  0.22474487139158894  https://pdf.dfcfw.com/pdf/H3_AP202510281770656060_1.pdf
东吴证券  2025-10-28  29.73  23.17  19.21  0.24403836032387427  https://pdf.dfcfw.com/pdf/H3_AP202510281770787687_1.pdf"
2025/11/28,603259,药明康德,46.2,54.7,18.1,13.53%,1.3,81.10%,97.16%,3.84,5.97,7.23,"中国银河  2025-10-28  18.53  18.95  15.59  0.09022127324281004  https://pdf.dfcfw.com/pdf/H3_AP202510281770692778_1.pdf
信达证券  2025-10-28  21.34  22.58  19.55  0.044777537230672904  https://pdf.dfcfw.com/pdf/H3_AP202510281770424530_1.pdf
浦银国际证券  2025-10-28  19.0  16.6  14.6  0.14077599160119902  https://pdf.dfcfw.com/pdf/H3_AP202510281770682592_1.pdf
招银国际  2025-10-09  24.7  21.0  18.0  0.17141889272037192  https://pdf.dfcfw.com/pdf/H3_AP202510091758876420_1.pdf
浦银国际证券  2025-10-07  18.1  16.0  13.6  0.15363874455618753  https://pdf.dfcfw.com/pdf/H3_AP202510061757270907_1.pdf
华金证券  2025-09-28  24.2  20.0  16.5  0.21106014163899656  https://pdf.dfcfw.com/pdf/H3_AP202509281752233237_1.pdf"
2025/11/28,601808,中海油服,46.8,15.6,17.1,9.18%,1.9,80.67%,4.27%,1.45,1.76,1.66,"西南证券  2025-11-01  16.67  15.19  14.0  0.09119855467017812  https://pdf.dfcfw.com/pdf/H3_AP202511011773044820_1.pdf
信达证券  2025-10-31  16.39  15.22  14.1  0.07815182025433254  https://pdf.dfcfw.com/pdf/H3_AP202510311772685247_1.pdf
国信证券  2025-10-30  16.3  15.6  14.6  0.05661646597257963  https://pdf.dfcfw.com/pdf/H3_AP202510301771948763_1.pdf
国信证券  2025-10-27  19.4  17.1  14.9  0.14105802780524357  https://pdf.dfcfw.com/pdf/H3_AP202510271770059670_1.pdf"
