date,code,code_name,peTTM,mean_peTTM_5Y,mean_peTTM_10Y,pbMRQ,mean_pbMRQ_5Y,mean_pbMRQ_10Y
2025-11-26,sh.600000,浦发银行,7.826562,5.47450525,5.793290969958847,0.545432,0.44508821122112213,0.6650446518518518
2025-11-26,sh.600009,上海机场,33.376052,-13.70170732508251,7.17279739876543,1.878299,2.9338426089108913,3.301650070781893
2025-11-26,sh.600010,包钢股份,108.122938,50.14622860396039,21.98616939917695,2.104502,1.6591445693069307,1.6808662296296295
2025-11-26,sh.600011,华能国际,8.407681,5.568572998349834,26.42140054444444,1.831519,1.9656405726072608,1.6577058724279834
2025-11-26,sh.600015,华夏银行,4.10375,3.9244321782178218,4.732427633744855,0.361036,0.3759321575907591,0.5573412181069959
2025-11-26,sh.600016,民生银行,5.914204,5.172967367161716,5.5198822242798355,0.319453,0.3454705998349835,0.5692825403292181
2025-11-26,sh.600018,上港集团,8.833686,9.377426609735974,12.616644834156377,0.909453,1.1393509595709572,1.5508436152263376
2025-11-26,sh.600019,宝钢股份,16.59173,12.268418226072606,17.78062928148148,0.76677,0.7667714768976897,0.8312691213991769
2025-11-26,sh.600023,浙能电力,9.254886,3.4808673811881192,8.412748295884773,0.898479,0.9045825701320132,1.0116539794238681
2025-11-26,sh.600025,华能水电,20.425372,20.095740101485145,21.11968062947587,2.560069,2.563793735148515,2.216803128178516
2025-11-26,sh.600026,中远海能,20.385701,108.27363172854784,73.70941331563786,1.799458,1.6004941212871289,1.2682900691358023
2025-11-26,sh.600027,华电国际,9.012014,25.814052061056106,19.48096568271605,1.218879,1.2568521113861386,1.1288616757201648
2025-11-26,sh.600028,中国石化,19.280073,11.232422322607261,15.196462634979422,0.836431,0.7955241930693069,0.855978373251029
2025-11-26,sh.600029,南方航空,-90.47077,-21.261089735973595,-2.2238670946502053,3.307612,2.3805450453795376,1.9873304325102883
2025-11-26,sh.600030,中信证券,14.575641,16.630332839108913,18.426661683127573,1.459511,1.4675846295379538,1.5319947827160494
2025-11-26,sh.600031,三一重工,23.291251,25.016846499174918,111.81939777366256,2.615215,2.65014925330033,2.66042766872428
2025-11-26,sh.600036,招商银行,7.321558,8.060176652640264,8.648278965843621,1.000854,1.2608411097359737,1.3627801238683126
2025-11-26,sh.600039,四川路桥,10.40761,8.861491260726073,10.366204061728395,1.618829,1.6804069290429042,1.4290197283950619
2025-11-26,sh.600048,保利发展,-93.156125,23.722713339108914,16.121530001646093,0.426386,0.8316190016501649,1.1332534925925926
2025-11-26,sh.600050,中国联通,18.004965,19.56265242821782,79.25798289835392,0.991048,0.9229665288778878,1.2028634345679012
2025-11-26,sh.600061,国投资本,13.463979,14.904717663366338,18.126482220576133,0.869762,0.9840045693069307,1.3961531847736626
2025-11-26,sh.600066,宇通客车,13.817403,30.023843380363033,22.185367749382717,5.126013,2.6144868762376237,2.7679042283950617
2025-11-26,sh.600085,同仁堂,33.978494,40.71946177970297,41.583770362962966,3.366578,4.8345459257425745,4.908035812757201
2025-11-26,sh.600089,特变电工,20.783128,11.391478413366338,13.020590219341564,1.606668,1.4730473762376237,1.3150662699588478
